직무명,회사명,위치,경력,주요업무,자격요건,우대사항
[헬스케어] 보건의료통계 및 데이터 분석 전문가,메디에이지,경기 성남시,경력 3-5년,"주요업무
ㆍ 건강보험공단 DB, 웨어러블 디바이스 DB 등의 헬스케어(보건,의료 포함) 빅데이터 분석
ㆍ 고급통계분석 (생존분석, PCA, Regression 등)을 활용한 헬스케어 서비스 알고리즘 개발
ㆍ 당사 헬스케어 솔루션(생체나이, 위험도 모델)관련 신규 알고리즘 개발 및 관리
ㆍ 보험사, 헬스케어 업체 등 협력 업체 데이터 구축 및 분석","자격요건
ㆍ학력 : 대졸 이상 (4년)
ㆍ경력 : 3년 이상
ㆍSAS, R, Python, SPSS 등 통계 프로그램 가능하신 분
ㆍ건강보험공단 데이터, 의료 검진 데이터 등 빅데이터 분석 경험 있으신 분
ㆍ고객관점에서 새로운 서비스를 직접 만드는 경험을 원하시는 분","우대사항
ㆍ통계학/보건학/수학/간호학 전공자
ㆍ건강보험공단 DB를 활용한 모델링 개발 경력 있으신 분"
"[쿠팡] Manager, Data Analyst (Coupang Ad)",쿠팡,서울 강남구,경력 7년 이상,"주요업무
Coupang Ads의 Manager, Data Analyst 로서 다음의 업무를 담당하게 됩니다.
• 쿠팡 광고 그룹(Coupang Ads)의 데이터를 활용하여 매출 증대를 위한 데이터 분석 및 Business Insight 제공
• 프리미엄 광고주에게 제공되는 광고 퍼포먼스 대시보드를 기획/관리
• 광고주의 비즈니스 질문에 다양한 각도로 고객 행동 데이터 분석을 통한 Custom Insight 리포트 제공
• 고객 Segment 분석의 고도화를 위한 다양한Feature 분석 및 개발","자격요건
• 학사 이상의 학위를 보유하고 수학, 통계 등 관련 전공 이수
• 8년 이상의 데이터 분석 및 실무 경력 보유
• SQL + (R 혹은 Python)을 활용하여 데이터 가공/추출/분석/리포팅에 능숙하신 분
• 다양한 분석기법을 가지고 가설 수립 및 검증하고, 그 결과를 근거로 논리적 추론 및 인사이트 도출하여 문제를 해결해본 경험이 있으신 분
• 여러 유관부서와 협업하여 본인의 분석결과를 바탕으로 데이터 기반의 커뮤니케이션 및 제안 등 액션까지 프로젝트를 주도적으로 이끌어본 경험이 있으신 분
• 팀의 매니저로 팀원들의 방향을 가이드 하고, 팀원들이 성장할 수 있도록 매니징 가능하신 분","우대사항
• 데이터 시각화 툴(e.g. Tableau, Power-BI) 활용 경험이 있으신 분
• 데이터 분석 기반의 비즈니스 컨설팅 경험 있으신 분
• 비즈니스 영어 가능하신 분"
[쿠팡] Staff Data Analyst (Coupang Ads),쿠팡,서울 강남구,경력 8년 이상,"주요업무
Coupang Ads의 Lead Data Analyst로서 다음의 업무를 담당하게 됩니다.

• Coupang Ads 그룹의 데이터를 활용해 신규 고객 확보 및 초기 성공률을 향상시키기 위해 데이터 분석 및 비즈니스 인사이트를 제공합니다. 비즈니스 질의에 대응하고, 의사 결정을 내리며, 운영 개선을 위한 제안 사항을 개발하기 위해 실행 가능한 인사이트 생성 노력을 주도합니다.
• 비즈니스 인텔리전스, 시각화 전략 및 로드맵을 정의하고 추진합니다.
• 비즈니스 운영 개선 및 전략 변경을 주도하기 위해 데이터 기반 스토리텔링 및 영향력을 활용해 시니어 리더십에 분석 및 권장 사항을 발표합니다. 결론을 뒷받침하는 증거와 함께 명확한 내러티브를 작성할 수 있는 뛰어난 능력을 보유합니다.
• 주요 비즈니스 이해관계자와 협업해 요구 사항을 파악하고 분석 솔루션을 적극적으로 개발함과 동시에 사용자 팀과 채택률을 높이는 접근 방식을 파악합니다. 이해관계자와 협력하고 협업해 현재와 미래의 정보 니즈를 파악, 예측하며 이에 대응합니다.
• 주요 비즈니스 지표 생성을 주도하고, 자동화된 대시보드와 셀프 서비스 분석 기능의 비전과 구축을 추진하며, 비즈니스 가치를 창출하는 데이터 기반 프로세스를 설계, 구축합니다.
• 주요 비즈니스 결정을 내리기 위해 사용중인 지표, 리포트, 분석, 대시보드 등의 설계, 개발, 유지, 자동화를 담당합니다.
• 비즈니스 팀의 활동 우선순위 결정을 지원하기 위해 예측 분석을 개발하고, 시간의 흐름에 따른 제안 사항의 영향 및 증분을 측정하고, 제안 정확성 개선을 위한 접근 방식을 개발합니다.
• 데이터 무결성, 테스트 설계, 분석, 검증, 문서화 등 보고 및 분석에서 모범 사례를 도입합니다.
• 주니어 팀원이 작업 우선순위를 결정하고 결과물의 품질과 실행 가능성을 확보할 수 있도록 지원합니다.","자격요건
• 학사 이상의 학위를 보유하고 수학, 통계학 등 관련 전공을 이수
• 8년 이상의 데이터 분석 및 실무 경력 보유
• SQL + (R 혹은 Python)를 활용하여 데이터 가공/추출/분석/리포팅에 능숙한 사람
• 데이터 시각화 툴(Tableau, Power-BI) 활용 경험이 풍부한 사람
• 다양한 분석 기법을 활용하여 가설을 수립하고 검증하며, 그 결과를 바탕으로 논리적으로 추론하고 인사이트를 도출하여 문제를 해결한 경험
• 다양한 이해관계자 및 조직과 협업해 프로젝트를 리드한 경험, 데이터, 인사이트, 대응 방법을 명확하게 커뮤니케이션한 경험 보유자
• 전반적인 팀의 로드맵과 일상적인 활동 및 주니어 팀원의 우선순위 설정 관리에 대한 경험
• 주니어 리소스의 역량 개발과 성장을 지원한 경험","우대사항
• 데이터 분석에 기반한 비즈니스 컨설팅 경험
• 데이터 사이언스 모델링 기법 경험
• 비즈니스 영어를 구사할 수 있는 사람"
Data Analyst,번개장터,서울 서초구,경력 3-6년,"주요업무
- 팀 내에서 스쿼드, 사일로 멤버들과 협업하며 목표 달성을 위한 데이터 분석가 역할을 수행해요.
- 번개장터 주요 피쳐와 서비스에 대한 도메인 이해를 기반으로 성장을 위한 기회를 발굴해요.
- 제품/비즈니스 측면에서 데이터에 기반한 의사결정을 내릴 수 있도록, 가설을 수립하고 데이터를 분석하여 인사이트를 찾아내요.
- 다양한 실험 과정에서 지표를 설계하고 분석하여 인사이트를 도출하며 서비스를 개선해 나가요.","자격요건
- 데이터 분석 관련 경험 최소 3년 이상 또는 이에 준하는 경험을 보유하신 분
- SQL을 활용하여 데이터를 추출하고 가공하는데 어려움이 없으신 분
- 가설을 검증하거나 분석 주제가 주어졌을 때, 분석 방향을 직접 기획하고 논리적으로 분석을 풀어나갈 수 있는 분
- 분석 결과를 명확하게 전달할 수 있는 커뮤니케이션 능력을 갖추신 분
- Redash, Tableau 등 BI Tool을 활용하여 대시보드 제작 및 인사이트 리포트가 가능하신 분","우대사항
- 중고거래, 이커머스에 대한 이해가 높거나 관심이 많으신 분
- 통계적 사고 기반의 풍부한 A/B 테스트 경험을 보유하신 분
- 그로스 해킹에 대한 이해가 있으신 분
- Python, R등을 활용한 데이터 분석 방법론에 익숙하신 분"
[UA팀] 모바일게임 데이터 분석가 (주니어),에임드,서울 서초구,경력 1-3년,"주요업무
• 데이터 기반의 게임 제작 및 사업 방향 의사 결정 지원
• 게임 지표 분석 및 개선을 위한 결론 도출
• 게임의 BM 고도화
• 게임 트렌드 및 시장 조사","자격요건
• 모바일 게임 업계에서 분석 또는 사업PM 경험이 6개월 이상이신 분
• SQL, Google BigQuery 등을 활용하여 데이터를 자유롭게 가공할 수 있으신 분
• 유관 부서와 원활한 소통을 위한 커뮤니케이션 능력을 보유하신 분","우대사항
• 모바일 게임 미드코어 장르 서비스 경험이 있으신 분
• 지표를 분석하고 결론을 도출하여 서비스 개선 경험을 보유하신 분"
제품 Data Analyst (Middle),바비톡,서울 서초구,경력 5년 이상,"주요업무
• Data-driven 의사결정을 내릴 수 있도록 정량적 수치와 분석 결과를 제공하고, 구성원들에게 Insight가 전달될 수 있도록 대시보드 및 리포트를 구성합니다.
• 목표로 하는 지표의 성장을 위한 임팩트 있는 가설을 설정하고, 이를 검증하기 위한 A/B 테스트 실험을 설계하며, 결과를 분석하여 전달합니다.
• Product Owner와 함께 서비스 및 전사의 방향을 결정하는 중요한 전략가로서의 역할도 수행합니다.
• 바비톡 사용자들이 경험하는 App의 UX 플로우 및 Funnel을 분석하여 개선점을 도출합니다.
• 제품 조직 뿐만 아니라, 마케팅, 운영팀, 영업팀 등 다양한 팀과의 협업을 통해 비즈니스 문제를 정의하고, 이를 해결하기 위한 가설을 수립합니다.

[업무환경]
• AWS S3와 Glue로 구축한 Data Lake를 활용합니다.
• 데이터 조회 및 가공은 Amazon Athena를 사용합니다.
• Amazon Quicksight와 Amplitude를 사용하여 서비스 주요 지표 및 성과 분석을 공유합니다.
• 핵클을 활용하여 AB 테스트를 진행합니다.","자격요건
• DA 경력 5년 이상 혹은 이에 준하는 실력
• 주제별 데이터 분석, 가설 수립, 성장 실험 등 데이터 분석과 관련한 높은 이해도를 갖춘 분
• 주어진 업무 외에 데이터 분석가로서 서비스에 기여할 수 있는 방법을 동료들과 논의하여 실행해 본 경험이 있는 분
• 담당 업무들 사이의 우선 순위를 정의하고 이해 관계자들과 협의를 원활하게 진행하실 수 있는 분
• Amazon Athena (또는 Trino), Google BigQuery, Amazon Redshift, Snowflake 를 통한 빅데이터 핸들링 역량 (SQL)
• 코호트 분석, A/B 테스트, Funnel 분석 등의 분석 방법론에 대한 이해 & 실무 적용 경험
• 모바일 서비스 데이터 분석 방법(Customer Lifetime Value, Retention, Cohort Analysis 등)에 대한 높은 수준의 이해
• Amplitude, Google Analytics, Firebase 등의 로그분석 툴 사용 경험","우대사항
• Lean Startup 및 Agile 조직 경험이 있으신 분
• 데이터 시각화(Tableau, Amazon Quicksight 등)에 대한 풍부한 경험이 있는 분
• Python, R 등을 활용한 데이터 분석에 대한 이해도가 높으신 분
• Spark 등을 활용한 데이터 적재 및 가공에 대한 이해도가 있으신 분"
Data Analyst,토스뱅크,서울 강남구,경력 3-15년,"주요업무
- 토스뱅크의 서비스/제품을 이용하는 모바일 유저들의 금융거래 및 행태 Data를 정제/가공/적재하며, 스쿼드에서 Data-driven 한 의사결정을 할 수 있도록 정량적 수치와 분석 결과를 제공해요.
- 목표를 달성하기 위한 지표와 가설을 설정하고, 이를 검증할 수 있는 다양한 A/B 테스트를 설계해 진행해요.
- 빠른 이터레이션을 통해 이슈를 해결하고 서비스를 고도화하여 유저들에게 최고의 경험을 선사해요.
- Product Owner와 함께 서비스 및 전사의 방향을 결정하는 중요한 전략가로서의 역할도 수행해요.
- 기본적으로는 소속 스쿼드의 서비스/제품 분석을 하고 있지만, 더 다양한 팀과의 협업을 통해 전사 차원의 관점에서 제품의 효율성, 비용 및 비즈니스 프로세스 등을 평가하여 제품 간 Cross Activation 영향도, 개선/성장 방향성, 프로젝트 우선순위에 대한 솔루션을 제공해요.","자격요건
- SQL을 활용하여 3년 이상의 데이터 분석 실무 경험이 있는 분이 필요해요.
- 원천 데이터 정제부터 문제 정의, 인사이트 도출 및 액션아이템 제시까지 데이터 분석 전반의 과정을 단독으로 수행할 수 있는 분이 필요해요.
- 최소 1개 이상의 데이터 시각화 툴(Tableau, Redash, Power Bi, 구글 데이터 스튜디오 등)을 능숙히 사용하실 수 있는 분이 필요해요.
- 모바일 서비스 데이터 분석 방법(Customer Lifetime Value, Retention, Cohort Analysis 등)에 대한 높은 수준의 이해도를 가지신 분이 필요해요.
- 비즈니스 성장을 위한 다양한 실험 및 가설 검증 경험이 있으신 분이 필요해요.
- 분석 결과를 명확하게 전달하는 의사소통 능력을 가지신 분이 필요해요.
- 데이터 마트 및 데이터 파이프라인 구축 또는 유저 행동 로그 설계 경험이 있다면 더 좋아요.
- Python 또는 R 등을 활용한 통계 분석 경험이 있다면 더 좋아요.","우대사항
[이력서는 이렇게 작성하시는 걸 추천해요]

- 특별한 양식이나 항목이 정해져 있지 않아요. 본인의 경험을 가장 잘 드러낼 수 있는 방식으로 작성해 주세요.
- 진행했던 프로젝트의 문제정의-가설설정-실험설계 및 검증-결과의 과정이 드러나면 좋아요.
- 데이터 분석으로 서비스 이용 유저에 대해 깊이 이해하고 이를 통해 액션을 제시하신 경험이 있다면 적어주세요."
데이터 비즈니스팀 팀장 (데이터 분석가),하쿠호도제일,서울 마포구,경력 6-10년,"주요업무
- 데이터 비즈니스팀 리드
- Data 분석 및 Lake 구축 및 운영 경험
- 고객 Segmentation 기획 및 설계
- 비즈니스 문제 해결을 위한 실험 설계
- 데이터 분석 결과를 바탕으로 실질적 액션 제안
- 데이터 기반 사고와 고객 Segmentation에 대한 광고 활성화를 위한 코칭 및 컨설팅","자격요건
ㆍ 학력 : 대졸이상
ㆍ 요구 능력 :

• (필수)데이터 관련 업무를 최소 6년 이상 전담하거나, 그에 준하는 실력이 있으신 분
• (필수) 광고관련 업종 종사 혹은 연관 직종 (마케팅 등)근무 경험이 있으신 분

(선택 및 우대사항)
• 모바일 서비스 데이터 분석 방법(LTV, AARRR, Cohort, Funnel 등)에 대한 높은 이해를 갖추신 분
• 온라인 광고 기술 및 솔루션에 대한 이해도가 높고, 유관 부서와 원활한 커뮤니케이션이 가능하신 분
• 데이터 분석 및 인사이트 도출에 능숙하고, 데이터 기반 플랫폼 기획 및 설계가 가능하신 분
• Python 등 기초적 개발 언어 지식 및 SQL 활용한 데이터 분석 능력 보유
• IT/DT 경험자","우대사항
- Cloud 관련 프로젝트 전략/구축/운영 경험자
- Cloud 관련 자격증 소유자(AWS, GCP, Salesforce 등)
- 마이데이터, CDP 관련 기획/구현/운영 업무 경험자
- 분류 분석을 위한 모델링 경험자
- 로그 수준의 데이터 수집/가공부터 분석까지의 전체 프로세스 경험자
- 웹/모바일 어플리케이션 분석 경험자"
Data Scientist (5년이상),피플리,서울 마포구,경력 5년 이상,"주요업무
[큐피커TFT 소개]

큐피커TFT는 피플리의 대표 플랫폼 서비스 큐피커를 운영하고 IT R&D를 수행하는 조직입니다.
전시 오디오가이드&티켓 플랫폼 큐피커를 운영하며, 전시 관람객과 문화예술 감상을 즐기는 고객을 위한 플랫폼 비즈니스를 수행합니다.
큐피커TFT의 Tech부문은 큐피커 클라이언트, 어드민 서비스의 고도화뿐만 아니라 sLLM 기술 기반의 지능형 도슨트 모델 R&D를 수행합니다.
지금 이 순간 관람객의 행태부터 미래 전시장에 올 모든 관람객까지도 반갑게 맞이할 수 있는 큐피커가 될 수 있도록 데이터 기반의 비즈니스 모델링과 파이프라인, 그리고 관람객 경험의 질적 향상을 위한 플랫폼 거버넌스를 구축하고 있습니다.

[주요 업무]
• 비즈니스 요구사항 분석
• 대용량 유물 및 작품 데이터 정제/가공
• VectorDB 기반 데이터 파이프라인 최적화를 위한 모니터링 환경 구성
• 고객 전시 데이터 소비 패턴 분석 기반 검색 서비스 반영
• 관람객 피드백 데이터를 기반으로 도슨트 응답의 만족도 분석
• 큐피커 데이터 관리 정책 위원회 참여","자격요건
• 해당직무 5년 이상 경력을 보유하신 분
• 개발언어: Python, SQL
• Sagemaker, BigQuery, databricks 등 상용 framework 사용 경험을 보유하신 분
• 통계 / 강화학습 기반 자연어 데이터 처리 모델링 프로젝트 경험을 보유하신 분
• Airflow, Hadoop, Kafka 등 분산 시스템 기반 데이터 에코시스템을 경험해보신 분
• 모델 서빙과 API 개발 경험을 보유하신 분
• (필수) 프로젝트 포트폴리오 제출","우대사항
• AWS 기술 스택 지식 (e.g., AWS Redshift, S3, EC2, Glue)
• ML 솔루션(학습, 튜닝, 추론 등) 호스팅 및 배포 경험
• 통계, 비즈니스 분석, 공학, 컴퓨터 과학 전공 또는 관련 교육 이수"
Data Scientist Part Leader,코그넷나인,서울 서초구,경력 8-15년,"주요업무
인공지능 기반 모델 개발, Fine-tuning, Prompt Engineering 리드
Pyton, HuggingFace, LLM 기술을 활용한 에이전트 AI 시스템 설계/개발
파트 내 Data Scientist 및 Data Annotator 업무 리드","자격요건
이공계 석사 이상 (이에 준하는 경력 8년 이상)
Deep Learning에 대한 전문적인 지식 및 논문을 읽고 구현할 수 있는 수준
Machine Learning / Deep Learning을 제품 혹은 서비스에 활용 경험
LLM 모델 활용, Fine-tuning, Prompt Engineering 통한 제품 구현 경험
인공지능 문제를 정의하고 정의된 문제의 해결법을 찾아가는 능력
모든 이해관계자와 효과적으로 소통하고 복잡한 기술적 세부사항을 명확하고 실행 가능한 통찰력으로 전달하는 커뮤니케이션 능력
제품 또는 서비스 구축 시 Integration 과정에서 유관 팀(개발팀, 딜리버리팀)을 리드","우대사항
Object Detection / Recognition / Segmentation 모델 개발 경험
빠르게 변화하는 환경에서 자율적으로 일하고 프로젝트를 이끌 수 있는 능력
도전력이 강하고 높은 수준의 적응력과 창의력 보유
AI 컨퍼런스 (NeurIPS, ICLR, AAAI, CVPR, KDD 등) 1저자 또는 교신저자 기재하신 분"
Onchain Data Analyst (퀀트 리서처),하이퍼리즘,서울 관악구,신입,"주요업무
• 알파 사전/사후 분석을 위한 시장 데이터 관리
• 듄을 활용한 온체인 데이터 가공 및 시각화","자격요건
• 아래 기술 스택 보유자
• Python 및 Typescript: 인하우스 툴 및 각종 스크립트
• Git, Docker, Dune

""주민번호, 현재 연봉 및 희망 연봉 등의 민감 개인정보는 삭제 또는 마스킹 후 제출해 주시기 바랍니다""","우대사항
• 솔리디티 스마트 컨트랙트 작성 능력
• 고도화된 온체인 거래를 위한 솔리티디 스마트 컨트랙트 배포 및 디버그"
시계열 데이터 분석 개발자,더블유지에스,경기 수원시,경력 1-10년,"주요업무
• 시계열 통계프로그램 개발","자격요건
• 경력 1년~10년 이하
• 중/상급 수준의 프로그램 언어 사용 능력(C++/C#)
• 정규직 (수습기간 3개월)","우대사항
• 프로젝트 리딩경험
• 병렬처리프로그래밍 / CUDA 경험
• PLC통신(MX Component, MC Protocol)
• SECS / GEM 프로토콜
• MES 개발 경험
• 리눅스에서 개발경험
• MongoDB 경험"
Data Analyst,클로버추얼패션(CLOVirtualFashion),서울 강남구,경력 3-10년,"주요업무
• Product/Business 성장을 위한 지표 설계 및 대시보드 개발
• Product/Business 문제 해결을 위한 실험 설계
• 핵심 지표 모니터링 및 지표 변동의 root cause 분석
• 데이터 분석 결과를 바탕으로 실질적인 액션 아이템에 대한 타 부서와의 협업
• 데이터 기반 사고와 실험 활성화를 위한 전사적인 코칭 및 컨설팅","자격요건
• 3년 이상 비즈니스 데이터 분석 경력
• SQL을 통해 쿼리를 작성하여 데이터 추출부터 분석까지 가능
• Tableau, Google Data Studio 등 BI 운영/사용 경험여러 서비스 데이터 분석 방법(e.g. LTV, AARRR, Cohort, Funnel, etc.)에 대한 높은 이해
• 수학적/통계적 지식과 높은 수준의 논리적 사고와 문제 해결 및 결과 도출 능력
• 실질적인 Action을 위한 데이터 분석 능력 및 Product/Business 관련 통찰력
• 논리적 추론결과를 가지고 기술 및 비지니스 측면에서 효과적으로 소통할 수 있는 능력
• 유창한 영어 커뮤니케이션 능력(Superior professional writing and communication skills in English.)","우대사항
• 구독 형태 비즈니스에 대한 이해도와 디지털 마케팅에 대한 이해가 높으신 분
• 로그 수준의 데이터 수집/가공부터 분석까지의 전체 프로세스를 경험한 분
• IT 혹은 agile한 업무 환경에서 일해본 경험이 있으신 분"
데이터 분석 엔진 개발 (6년이상),이글루코퍼레이션,서울 송파구,경력 6-10년,"주요업무
• ETL, CEP","자격요건
• 학력 : 초대졸 이상
• 경력 : 6년 이상
• JAVA 활용이 가능한 자
• Open source 활용 프로젝트 경험 보유자
• Data Warehouse 설계, 인프라 구축 등 엔지니어링 경험 보유자
• 해외여행에 결격사유가 없는 자","우대사항
• Kubernetes, Kafka 활용 프로젝트 유경험자
• In-memory / RDB / NoSQL 유경험자
• ETL, CEP 유경험자"
Data Analyst,엘박스,서울 강남구,경력 6년 이상,"주요업무
• 엘박스의 주요 프로덕트(판결문 검색 서비스, 엘박스AI, 법률분석, 엘파인드, 로웨이브)의 데이터 분석을 수행합니다.
• 인입 트래픽 분석, 검색 트래픽 분석, 서비스 activation별 이용 분석, Retention, Referral과 같은 유저 행동 패턴을 분석하고 액션 아이템을 도출합니다.
• 전사 분석을 통해 조직의 전략적 방향을 지원하고 성과를 측정하며, 전략 및 비즈니스 관점 의사 결정을 위한 인사이트를 제공합니다.
• 각 제품의 지표와 전사 매출 지표 사이의 상호 영향을 분석하고, 거시적 관점에서 변동 원인을 파악하고 매출을 예측합니다.
• BigQuery, Redash, Amplitude 등 BI Tool을 활용하여 KPI 및 주요 지표, 유저 행동을 트래킹하는 대시보드를 구축합니다.","자격요건
• 6년 이상의 SQL을 사용한 데이터 분석 업무 경험이 있는 분
• 데이터 파이프라인에 대한 이해도와 작업 경험이 있으셔서, 데이터 마트 구조를 체계화하고 관리할 수 있는 분
• 유저 행동 로그를 설계해보신 분
• 문제를 정의할 줄 알고, 문제 해결에 가장 빠르게 접근할 수 있는 가설을 세울 줄 아는 분
• 복잡한 데이터를 주도적으로 탐색하고, 탐색 과정에서 비즈니스 인사이트를 발견할 수 있는 분
• 팀과의 협업 및 커뮤니케이션 능력이 우수하여, 다양한 이해관계자와 원활하게 협력할 수 있는 분","우대사항
• 데이터 분석 조직을 리딩해본 경험이 있는 분
• 그로스 해킹에 대한 깊은 관심과 기본적인 이해를 가지고 계신 분
• Github으로 엔지니어와 협업을 해본 경험이 있는 분
• 법률 도메인과 같은 새로운 데이터를 익히는데 흥미를 느끼는 분"
"쿠팡 Manager, Data Analyst (Coupang Advertising)",쿠팡,서울 송파구,경력 5년 이상,"주요업무
담당 업무 :

Coupang Ads의 Manager, Data Analyst 로서 다음의 업무를 담당하게 됩니다.

쿠팡 광고 그룹(Coupang Ads)의 데이터를 활용하여 매출 증대를 위한 데이터 분석 및 Business Insight 제공
프리미엄 광고주에게 제공되는 광고 퍼포먼스 대시보드를 기획/관리
광고주의 비즈니스 질문에 다양한 각도로 고객 행동 데이터 분석을 통한 Custom Insight 리포트 제공
고객 Segment 분석의 고도화를 위한 다양한Feature 분석 및 개발","자격요건
자격 요건 :

학사 이상의 학위를 보유하고 수학, 통계 등 관련 전공 이수
8년 이상의 데이터 분석 및 실무 경력 보유
SQL + (R 혹은 Python)을 활용하여 데이터 가공/추출/분석/리포팅에 능숙하신 분
다양한 분석기법을 가지고 가설 수립 및 검증하고, 그 결과를 근거로 논리적 추론 및 인사이트 도출하여 문제를 해결해본 경험이 있으신 분
여러 유관부서와 협업하여 본인의 분석결과를 바탕으로 데이터 기반의 커뮤니케이션 및 제안 등 액션까지 프로젝트를 주도적으로 이끌어본 경험이 있으신 분
팀의 매니저로 팀원들의 방향을 가이드 하고, 팀원들이 성장할 수 있도록 매니징 가능하신 분","우대사항
우대 사항:

데이터 시각화 툴(e.g. Tableau, Power-BI) 활용 경험이 있으신 분
데이터 분석 기반의 비즈니스 컨설팅 경험 있으신 분
비즈니스 영어 가능하신 분"
Data Scientist,한국그린데이터,서울 서초구,경력 3-7년,"주요업무
• 데이터 품질을 평가하고, 누락된 값이나 이상치를 처리하여 데이터를 정제
• 데이터를 구조화하고 표준화하여 분석에 적합한 형태로 가공
• 비즈니스 문제에 대한 분석 방법을 결정하고, 적절한 분석 기법을 제안
• 통계적 분석, 머신 러닝, 딥 러닝 등의 기법을 활용하여 데이터를 모델링하고 예측 모델을 개발
• 비즈니스 팀과 협력하여 데이터 분석 결과를 해석하고, 의사 결정에 활용할 수 있는 인사이트를 제공
• 비즈니스 요구 사항을 이해하고, 데이터 분석과 모델링을 통해 비즈니스 문제를 해결하고 최적화하는 솔루션을 제안
• 데이터 분석 및 머신 러닝 기술과 도구의 최신 동향을 조사하고, 새로운 기술을 습득하여 업무에 적용
• 데이터 분석 프로세스의 효율성을 개선하기 위해 자동화 및 최적화 방법을 연구하고 적용","자격요건
• 학사 학위 이상의 데이터 사이언스, 통계학, 컴퓨터 공학, 물리학, 수학 등과 관련된 전공
• 데이터 분석 및 모델링에 대한 깊은 이해와 경험
• 데이터 처리 및 분석을 위한 프로그래밍 언어 (Python, R 등) 능숙한 활용 능력
• 데이터베이스 쿼리 언어(SQL)에 대한 이해와 경험
• 머신 러닝, 딥 러닝 기법에 대한 이해와 경험","우대사항
• 에너지 플랫폼 서비스의 데이터 분석 및 모델링 업무를 담당해본 경험
• AWS, GCP 등 클라우드 서비스를 사용해보신 분
• 기존 프로덕트 내 문제를 파악하고 지표를 정의하여 분석해본 경험
• AI모델 서비스를 위한 파이프라인을 운영해본 경험
• 팀에서의 협업 능력과 프로젝트 관리 경험"
